"ID"	"smb"	"gen"	"log2"	"pVal"
"472"	8151401	"UBE2W"	"ubiquitin conjugating enzyme E2 W (putative)"	-1	3.376
"475"	8151549	"IMPA1"	"inositol monophosphatase 1"	-1.767	4.075
"476"	8151561	"ZFAND1"	"zinc finger AN1-type containing 1"	-1.757	4.067
"477"	8151898	"C8orf37"	"chromosome 8 open reading frame 37"	-1.967	3.646
"478"	8151909	"UQCRB"	"ubiquinol-cytochrome c reductase binding protein"	-1.21	3.777
"480"	8154153	"CDC37L1"	"cell division cycle 37 like 1"	-1.02	3.177
"481"	8154254	"RIC1"	"RIC1 homolog, RAB6A GEF complex partner 1"	-0.74	3.147
"482"	8156521	"MIRLET7F1"	"microRNA let-7f-1"	-2.087	5.957
"483"	8156861	"STX17"	"syntaxin 17"	-1.063	3.836
"484"	8158771	"AIF1L"	"allograft inflammatory factor 1 like"	1.1	3.33
"485"	8160016	"RANBP6"	"RAN binding protein 6"	-1.447	3.249
"486"	8160478	"CAAP1"	"caspase activity and apoptosis inhibitor 1"	-1.45	4.339
"487"	8160531	"C9orf72"	"chromosome 9 open reading frame 72"	-1.25	3.22
"488"	8161265	"IGFBPL1"	"insulin like growth factor binding protein like 1"	0.893	3.225
"490"	8161839	"NMRK1"	"nicotinamide riboside kinase 1"	-1.283	3.329
"491"	8163107	"MIR32"	"microRNA 32"	-1.153	3.814
"492"	8163444	"ZFP37"	"ZFP37 zinc finger protein"	-1.903	3.371
"494"	8164105	"GOLGA1"	"golgin A1"	-0.96	3.897
"495"	8166096	"TCEANC"	"transcription elongation factor A N-terminal and central domain containing"	-1	3.523
"496"	8166805	"ATP6AP2"	"ATPase H+ transporting accessory protein 2"	-1.147	4.322
"497"	8167897	"RRAGB"	"Ras related GTP binding B"	-1.04	3.743
"498"	8168438	"UPRT"	"uracil phosphoribosyltransferase homolog"	-1.653	3.37
"499"	8171708	"CXorf23"	"chromosome X open reading frame 23"	-1.15	3.497
"501"	8175539	"LDOC1"	"leucine zipper down-regulated in cancer 1"	2.763	4.651
"502"	8178324	"ZNRD1ASP"	"zinc ribbon domain containing 1 antisense, pseudogene"	-1.027	3.622
