"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2874","Rv3528c",-1.31445132147222,1.27841005323077,-4.25517366056649,0.000528959103072894,0.0274154202661145,-0.166775282147307
"4893",NA,-0.652539966777777,3.56690148046154,-4.2525717664676,0.000531940990238043,0.0274154202661145,-0.172202924407436
"4589",NA,-0.697983958722223,1.82026204776923,-4.24194013309592,0.000544303149903822,0.0277853798427094,-0.194383477445341
"4240",NA,-0.699676326138889,3.12697253553846,-4.21574860199999,0.000576012744452795,0.0290368421038729,-0.249043350169683
"2935","Rv3583c",-1.18101330883333,1.43365364507692,-4.21283530984081,0.000579653377819851,0.0290368421038729,-0.255124615747379
"2709","Rv3376",-1.25819401991667,1.69517906184615,-4.18848992784985,0.000611001111606961,0.0299406753352941,-0.305954154155756
"1235","Rv2076c",-1.17338318069444,2.22549658323077,-4.18692603363181,0.000613072452118843,0.0299406753352941,-0.309219949758841
"1069","Rv1930c",1.03806327494445,1.68969262884615,4.18588579082742,0.000614454158000439,0.0299406753352941,-0.311392272238881
"5118",NA,-1.47406581825,2.51955010730769,-4.17517351322047,0.000628867167604826,0.0303669190843411,-0.333764364781017
"270","Rv1221",-1.01528043838889,1.49686350915385,-4.16969824579964,0.00063636541246114,0.0304546304534974,-0.345200451246743
"4961",NA,-1.087627104,7.73472377853846,-4.14567201851865,0.000670351429404248,0.03156653352084,-0.395392945848588
"429","Rv1356c",-0.951446916,1.04204204123077,-4.1449657387607,0.000671377765182044,0.03156653352084,-0.396868634403077
"2208","Rv2938",-0.797392257222222,1.39653152553846,-4.13423380068937,0.000687169651782915,0.0320280811613602,-0.419293212483051
"4965",NA,-0.702540341333333,2.18225147953846,-4.12170033599433,0.00070608794056923,0.0326261324263024,-0.445485420466284
"4843",NA,-0.601867602583333,2.04547783023077,-4.10871787481122,0.000726238584028375,0.0332704171828384,-0.472619434801869
"3429","Rv0005",-0.487476901833333,1.78830523353846,-4.09559346938111,0.000747199611168218,0.0339405925073021,-0.50005345718014
"4802",NA,-0.925946460305555,2.29491938261538,-4.0865347544018,0.000762022349209062,0.0340902219964949,-0.518990746719837
"4479",NA,-0.960129328333335,5.03143138538462,-4.0837893071766,0.000766573017888562,0.0340902219964949,-0.524730391339169
